"CocktailId","CocktailName","CanonicalKey","Source","GlassType","TimePeriod","LegacyFlavorProfile","Aesthetic","Build Method","Build Pattern","Cocktail Family","Flavor Profile","Mood","Occasion","Strength","Texture","NotesForReview"
"206","Rye and Pomegranate Punch","cocktail_recipe_book::rye_and_pomegranate_punch","Cocktail Recipe Book","","Modern","Fruity and Sweet","","","","","","","","","",""
"190","Sandeman Sparkler","cocktail_recipe_book::sandeman_sparkler","Cocktail Recipe Book","","Modern","Bubbly and Sweet","","","","","","","","","",""
"38","Saratoga Cocktail #1","cocktail_recipe_book::saratoga_cocktail_#1","Cocktail Recipe Book","","Vintage","Bitter and Spirit-forward","","","","","","","","","",""
"39","Sazerac","cocktail_recipe_book::sazerac","Cocktail Recipe Book","","Classic","Dry and Spirit-forward","Classic","Stirred","Served Up | Short Drink | Simple 3-Ingredient | Spirit-Forward","","Bitter","Sophisticated | Contemplative","Nightcap","High-Octane | Spirit-Forward","",""
"65","Scofflaw","cocktail_recipe_book::scofflaw","Cocktail Recipe Book","","Classic","Sweet and Spirit-forward","","","","","","","","","",""
"81","Scotch Old-Fashioned","cocktail_recipe_book::scotch_old_fashioned","Cocktail Recipe Book","","Classic","Simple and Strong","Classic","Stirred","Served Up | Short Drink | Simple 3-Ingredient | Spirit-Forward","Lowball","","","","Spirit-Forward","",""
"83","Scotch Sour","cocktail_recipe_book::scotch_sour","Cocktail Recipe Book","","Classic","Sweet and Smooth","","Shaken","Simple 3-Ingredient | Spirit + Citrus + Sweet","Sour","Citrusy | Sour | Warming","","","","",""
"82","Scotch and Soda","cocktail_recipe_book::scotch_and_soda","Cocktail Recipe Book","","Classic","Simple and Smooth","","Built","Long Drink | Simple 2-Ingredient","Highball","Fizzy | Refreshing","","","Sessionable","",""
"129","Screwdriver","cocktail_recipe_book::screwdriver","Cocktail Recipe Book","","Classic","Sweet and Citrusy","","Built","Long Drink | Simple 2-Ingredient","","","","","","",""
"130","Sea Breeze","cocktail_recipe_book::sea_breeze","Cocktail Recipe Book","","Modern","Fruity and Refreshing","","Built","Long Drink","","Fizzy | Refreshing","","","Sessionable","",""
"131","Sex on the Beach","cocktail_recipe_book::sex_on_the_beach","Cocktail Recipe Book","","Modern","Sweet and Fruity","Colorful","","","","Fruity | Sweet","Playful | Flirty","Party | Summer","","",""
"40","Sherman Cocktail","cocktail_recipe_book::sherman_cocktail","Cocktail Recipe Book","","Modern","Herbal and Spirit-forward","","","","","","","","","",""
"175","Sidecar","cocktail_recipe_book::sidecar","Cocktail Recipe Book","","Classic","Tart and Complex","","Shaken","3:2:1 | Served Up | Simple 3-Ingredient | Spirit + Citrus + Sweet","Sour","Citrusy","","","Medium","Silky",""
"16","Singapore Sling","cocktail_recipe_book::singapore_sling","Cocktail Recipe Book","","","Fruity and Tart","","","Complex Spec | Long Drink","Sling","","","","","",""
"148","Snow White","cocktail_recipe_book::snow_white","Cocktail Recipe Book","","Modern","Creamy and Decadent","","","","","","","","","",""
"191","Southside Royale","cocktail_recipe_book::southside_royale","Cocktail Recipe Book","","Classic","Citrusy and Sweet","","","","","","","","","",""
"41","Stone Fence","cocktail_recipe_book::stone_fence","Cocktail Recipe Book","","Classic","Dry and Lightly-spiced","","","","","","","","","",""
"149","Tequila Lemonade","cocktail_recipe_book::tequila_lemonade","Cocktail Recipe Book","","Modern","Light and Refreshing","","","","","","","","","",""
"150","Tequila Mockingbird","cocktail_recipe_book::tequila_mockingbird","Cocktail Recipe Book","","Modern","Refreshing and Sweet","","","","","","","","","",""
"151","Tequila Smash","cocktail_recipe_book::tequila_smash","Cocktail Recipe Book","","Vintage","Minty and Spirit-forward","","Muddled","","Smash","","","","","",""
"152","Tequila Sour","cocktail_recipe_book::tequila_sour","Cocktail Recipe Book","","Classic","Sweet and Citrusy","","Shaken","Simple 3-Ingredient | Spirit + Citrus + Sweet","Sour","Citrusy | Sour","","","","",""
"153","Tequila Sunrise","cocktail_recipe_book::tequila_sunrise","Cocktail Recipe Book","","Vintage","Fruity and Refreshing","Colorful | Layered","Layered","","","Fruity | Refreshing","","Party | Summer","","",""
"154","Tequila Sunset","cocktail_recipe_book::tequila_sunset","Cocktail Recipe Book","","Modern","Sweet and Tart","","","","","","","","","",""
"155","Tequila Tonic","cocktail_recipe_book::tequila_tonic","Cocktail Recipe Book","","Classic","Light and Refreshing","","Built","Long Drink","","","","","Sessionable","",""
"33","The Liberal","cocktail_recipe_book::the_liberal","Cocktail Recipe Book","","Vintage","Spicy and Citrusy","","Stirred","Served Up | Short Drink | Spirit-Forward","","Bitter","","","Spirit-Forward","",""
