CocktailId,CocktailName,CanonicalKey,IsApproved,IsPopular,Source,GlassType,TimePeriod,LegacyFlavorProfile,CurrentTagsAll,Aesthetic,"Build Method","Build Pattern","Cocktail Family","Flavor Profile",Mood,Occasion,Strength,Texture
158,"Brandy Alexander",cocktail_recipe_book::brandy_alexander,Yes,No,"Cocktail Recipe Book","",Vintage,"Rich and Spirit-forward","Build Method: Shaken | Build Pattern: Simple 4-Ingredient | Flavor Profile: Creamy | Texture: Creamy","",Shaken,"Simple 4-Ingredient","",Creamy,"","","",Creamy
159,"Brandy Cobbler",cocktail_recipe_book::brandy_cobbler,Yes,No,"Cocktail Recipe Book","",Vintage,"Dry and Spirit-forward","Cocktail Family: Cobbler","","","",Cobbler,"","","","",""
160,"Brandy Cocktail",cocktail_recipe_book::brandy_cocktail,Yes,No,"Cocktail Recipe Book","",Vintage,"Subtle and Fresh","","","","","","","","","",""
161,"Brandy Fix",cocktail_recipe_book::brandy_fix,Yes,No,"Cocktail Recipe Book","",Classic,"Fruity and Tart","","","","","","","","","",""
162,"Brandy Milk Punch",cocktail_recipe_book::brandy_milk_punch,Yes,No,"Cocktail Recipe Book","",Classic,"Smooth and Rich","","","","","","","","","",""
163,"Brandy Smash",cocktail_recipe_book::brandy_smash,Yes,No,"Cocktail Recipe Book","",Classic,"Minty and Sweet","Build Method: Muddled | Cocktail Family: Smash","",Muddled,"",Smash,"","","","",""
28,Brooklyn,cocktail_recipe_book::brooklyn,Yes,No,"Cocktail Recipe Book","",Modern,"Dry and Spirit-forward","Build Method: Stirred | Build Pattern: Served Up | Build Pattern: Short Drink | Build Pattern: Spirit-Forward | Strength: Spirit-Forward","",Stirred,"Served Up | Short Drink | Spirit-Forward","","","","",Spirit-Forward,""
52,"Brown Derby",cocktail_recipe_book::brown_derby,Yes,No,"Cocktail Recipe Book","",Classic,"Fruity and Tart","Build Method: Shaken | Build Pattern: Spirit + Citrus + Sweet | Cocktail Family: Sour","",Shaken,"Spirit + Citrus + Sweet",Sour,"","","","",""
87,Bumboo,cocktail_recipe_book::bumboo,Yes,No,"Cocktail Recipe Book","","","Fruity and Spicy","","","","","","","","","",""
118,Caesar,cocktail_recipe_book::caesar,Yes,No,"Cocktail Recipe Book","",Vintage,"Savory and Salty","Mood: Brunchy | Occasion: Brunch","","","","","",Brunchy,Brunch,"",""
135,Cantaritos,cocktail_recipe_book::cantaritos,Yes,No,"Cocktail Recipe Book","",Modern,"Citrusy and Sweet","","","","","","","","","",""
119,"Cape Codder",cocktail_recipe_book::cape_codder,Yes,No,"Cocktail Recipe Book","",Modern,"Sweet and Refreshing","Build Method: Built | Build Pattern: Long Drink | Flavor Profile: Fizzy | Flavor Profile: Refreshing | Strength: Sessionable","",Built,"Long Drink","","Fizzy | Refreshing","","",Sessionable,""
196,Casino,cocktail_recipe_book::casino,Yes,No,"Cocktail Recipe Book","",Vintage,"Dry and Spirit-forward","Build Method: Shaken","",Shaken,"","","","","","",""
181,"Champagne Cocktail",cocktail_recipe_book::champagne_cocktail,Yes,Yes,"Cocktail Recipe Book","",Classic,"Dry and Herbal","","","","","","","","","",""
182,Champino,cocktail_recipe_book::champino,Yes,No,"Cocktail Recipe Book","",Vintage,"Dry and Bittersweet","","","","","","","","","",""
164,"Champs Elysees",cocktail_recipe_book::champs_elysees,Yes,No,"Cocktail Recipe Book","",Vintage,"Dry and Citrusy","","","","","","","","","",""
258,Chancellor,user_added::chancellor,Yes,No,"User Added","",Classic,"","Build Method: Shaken | Build Pattern: Served Up | Build Pattern: Simple 4-Ingredient | Build Pattern: Spirit + Citrus + Sweet | Cocktail Family: Sour","",Shaken,"Served Up | Simple 4-Ingredient | Spirit + Citrus + Sweet",Sour,"","","","",""
183,"Chin Chin (by Tony Conigliaro)",cocktail_recipe_book::chin_chin_by_tony_conigliaro,Yes,No,"Cocktail Recipe Book","",Modern,"Sweet and Bubbly","","","","","","","","","",""
211,"Chocolate Citrus Cocktail",ultimate_bar_book_the_comprehensive_guid::chocolate_citrus_cocktail,Yes,No,"Ultimate Bar Book: the Comprehensive Guide","","","","","","","","","","","","",""
165,Chrysanthemum,cocktail_recipe_book::chrysanthemum,Yes,No,"Cocktail Recipe Book","",Classic,"Dry and Herbal","Build Method: Stirred | Build Pattern: Short Drink","",Stirred,"Short Drink","","","","","",""
212,"Cilantro Limeade Cooler",ultimate_bar_book_the_comprehensive_guid::cilantro_limeade_cooler,Yes,No,"Ultimate Bar Book: the Comprehensive Guide","","","","Build Pattern: Long Drink | Cocktail Family: Cooler","","","Long Drink",Cooler,"","","","",""
166,"Classic Cocktail",cocktail_recipe_book::classic_cocktail,Yes,No,"Cocktail Recipe Book","",Classic,"Citrusy and Sweet","Build Method: Blended | Build Method: Stirred | Build Pattern: Frozen Cocktail | Build Pattern: Short Drink","","Blended | Stirred","Frozen Cocktail | Short Drink","","","","","",""
197,"Clover Club",cocktail_recipe_book::clover_club,Yes,No,"Cocktail Recipe Book","",Vintage,"Sweet and Fruity","Build Method: Shaken | Build Pattern: Egg White / Foam | Build Pattern: Simple 4-Ingredient | Texture: Frothy","",Shaken,"Egg White / Foam | Simple 4-Ingredient","","","","","",Frothy
213,"Coastal Spritz",user_added::coastal_spritz,Yes,No,"User Added","",Modern,"","Build Pattern: Long Drink | Build Pattern: Topped With Soda | Flavor Profile: Refreshing | Strength: Low-ABV","","","Long Drink | Topped With Soda","",Refreshing,"","",Low-ABV,""
198,"Coco Chanel",cocktail_recipe_book::coco_chanel,Yes,No,"Cocktail Recipe Book","",Classic,"Sweet and Spirit Forward","","","","","","","","","",""
214,"Coconut Fizz",ultimate_bar_book_the_comprehensive_guid::coconut_fizz,Yes,No,"Ultimate Bar Book: the Comprehensive Guide","","","","Build Method: Built | Build Pattern: Topped With Soda | Cocktail Family: Fizz","",Built,"Topped With Soda",Fizz,"","","","",""
167,"Corpse Reviver",cocktail_recipe_book::corpse_reviver,Yes,No,"Cocktail Recipe Book","",Classic,"Strong and Dry","Build Method: Shaken | Build Pattern: Simple 4-Ingredient | Cocktail Family: Sour","",Shaken,"Simple 4-Ingredient",Sour,"","","","",""
5,"Corpse Reviver #2",cocktail_recipe_book::corpse_reviver_#2,Yes,No,"Cocktail Recipe Book","",Classic,"Tart and Spirit-forward","Build Method: Shaken | Build Pattern: Equal Parts | Build Pattern: Served Up | Build Pattern: Simple 4-Ingredient | Cocktail Family: Sour | Flavor Profile: Citrusy","",Shaken,"Equal Parts | Served Up | Simple 4-Ingredient",Sour,Citrusy,"","","",""
